#          r            f            d         rho1         rho2         mass
 3.10464e-01  9.97354e-01  1.84986e-02  3.41258e-01  2.70833e-03  1.76867e-01
 3.24210e-01  9.97591e-01  1.61304e-02  2.92830e-01  2.23292e-03  1.82408e-01
 3.38564e-01  9.97808e-01  1.40644e-02  2.50049e-01  1.83779e-03  1.87807e-01
 3.53553e-01  9.98005e-01  1.22623e-02  2.12431e-01  1.50999e-03  1.93044e-01
 3.69207e-01  9.98184e-01  1.06904e-02  1.79513e-01  1.23854e-03  1.98095e-01
 3.85553e-01  9.98347e-01  9.31960e-03  1.50855e-01  1.01417e-03  2.02942e-01
 4.02623e-01  9.98496e-01  8.12418e-03  1.26039e-01  8.29056e-04  2.07566e-01
 4.20448e-01  9.98631e-01  7.08180e-03  1.04669e-01  6.76616e-04  2.11952e-01
 4.39063e-01  9.98754e-01  6.17292e-03  8.63736e-02  5.51313e-04  2.16087e-01
 4.58502e-01  9.98866e-01  5.38049e-03  7.08071e-02  4.48504e-04  2.19960e-01
 4.78802e-01  9.98968e-01  4.68965e-03  5.76473e-02  3.64307e-04  2.23563e-01
 5.00000e-01  9.99061e-01  4.08738e-03  4.65966e-02  2.95477e-04  2.26892e-01
 5.22137e-01  9.99145e-01  3.56237e-03  3.73822e-02  2.39308e-04  2.29945e-01
 5.45254e-01  9.99222e-01  3.10472e-03  2.97556e-02  1.93551e-04  2.32724e-01
 5.69394e-01  9.99292e-01  2.70580e-03  2.34915e-02  1.56338e-04  2.35233e-01
 5.94604e-01  9.99356e-01  2.35809e-03  1.83882e-02  1.26125e-04  2.37480e-01
 6.20929e-01  9.99414e-01  2.05503e-03  1.42655e-02  1.01634e-04  2.39475e-01
 6.48420e-01  9.99467e-01  1.79088e-03  1.09643e-02  8.18102e-05  2.41229e-01
 6.77128e-01  9.99515e-01  1.56067e-03  8.34538e-03  6.57878e-05  2.42759e-01
 7.07107e-01  9.99558e-01  1.36003e-03  6.28772e-03  5.28554e-05  2.44078e-01
 7.38413e-01  9.99598e-01  1.18517e-03  4.68735e-03  4.24303e-05  2.45205e-01
 7.71105e-01  9.99634e-01  1.03278e-03  3.45576e-03  3.40363e-05  2.46158e-01
 8.05246e-01  9.99667e-01  8.99970e-04  2.51842e-03  2.72848e-05  2.46954e-01
 8.40897e-01  9.99697e-01  7.84236e-04  1.81327e-03  2.18601e-05  2.47611e-01
 8.78126e-01  9.99725e-01  6.83378e-04  1.28917e-03  1.75052e-05  2.48147e-01
 9.17004e-01  9.99749e-01  5.95487e-04  9.04547e-04  1.40118e-05  2.48580e-01
 9.57603e-01  9.99772e-01  5.18896e-04  6.25994e-04  1.12115e-05  2.48924e-01
 1.00000e+00  9.99793e-01  4.52154e-04  4.27036e-04  8.96815e-06  2.49194e-01
 1.04427e+00  9.99811e-01  3.93993e-04  2.86969e-04  7.17187e-06  2.49402e-01
 1.09051e+00  9.99828e-01  3.43312e-04  1.89844e-04  5.73423e-06  2.49562e-01
 1.13879e+00  9.99844e-01  2.99149e-04  1.23550e-04  4.58402e-06  2.49682e-01
 1.18921e+00  9.99858e-01  2.60666e-04  7.90430e-05  3.66406e-06  2.49770e-01
